Name,Martech Stack Group,Category,Est. annual fee (GBP),Frequently Used,Last edited by,Last edited time,Account Manager Name Email,Description,Clients using this tool
Google Cloud,,Data Warehouse,,No,"Ky ","November 30, 2024 9:06 PM",,,
Custom Integration,,,,No,"Ky ","November 29, 2024 11:45 PM",,,
Hotjar,"Martech 3, Martech 4","Heatmaps, Session Recording",,No,"Ky ","November 30, 2024 8:07 PM",,,
Looker (Data Studio),,"Data Visualisation, Reporting",,No,"Ky ","November 30, 2024 9:06 PM",,,
Snapchat Ads,Martech 4,Advertising,,Yes,"Ky ","November 30, 2024 9:02 PM",,,
Linkedin,Martech 4,Advertising,,Yes,"Ky ","November 30, 2024 9:06 PM",,,
BigQuery,,Data Warehouse,,No,"Ky ","November 30, 2024 9:06 PM",,,
Google Sheets,,Data Warehouse,,Yes,"Ky ","November 30, 2024 9:01 PM",,,
Fivetran,,Data Integration,,No,"Ky ","November 30, 2024 9:06 PM",,,
Segment,,"CDP, Tag Manager",,No,"Ky ","November 30, 2024 9:06 PM",,,
Wicked Reports,,Reporting,,No,"Ky ","November 30, 2024 9:06 PM",,,
Mixpanel,"Martech 2, Martech 3, Martech 4",Analytics,,Yes,"Ky ","December 5, 2024 1:37 PM",,,"Hilditch & Key (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Hilditch%20&%20Key%201537dee22b17807a9efbefe4027991b0.md), Comodo Living (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Comodo%20Living%201537dee22b17807281dccc1f61ddb52b.md), Beds Online (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%201537dee22b1780748ea2fca477b9c373.md)"
Triple Whale,"Martech 3, Martech 4",Analytics,,Yes,"Ky ","November 30, 2024 9:05 PM",,,
Notion,,Workspace,,Yes,"Ky ","November 30, 2024 8:54 PM",,,
Tik Tok,"Martech 2, Martech 3, Martech 4",Advertising,,Yes,"Ky ","November 30, 2024 9:06 PM",,,
Amplitude,"Martech 3, Martech 4",Analytics,,No,"Ky ","November 30, 2024 9:03 PM",,,
Slack,,Project Management,,Yes,"Ky ","November 30, 2024 8:53 PM",,,
Elevar,,"Data Integration, Tag Manager",,Yes,"Ky ","December 5, 2024 1:36 PM",,Elevar is a server side tagging solution.,"Scotch & Soda (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Scotch%20&%20Soda%201537dee22b1780f7b4afce8492f9f178.md), The Somerset Grill (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/The%20Somerset%20Grill%201537dee22b178036a834d68f3c723751.md), domli (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/domli%201537dee22b17806d9f30c8bc66c4d814.md), Comodo Living (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Comodo%20Living%201537dee22b17807281dccc1f61ddb52b.md)"
simprosys,,,,No,"Ky ","December 5, 2024 1:44 PM",,,Ark Wildlife (../../../Paid%20Media%20Home%201537dee22b1780b8976adc4e11e1932c/Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Ark%20Wildlife%201537dee22b178059b3a3d910aad87bd4.md)
